bag,chest,foot,hand,head,neck,ring,waist,weapon
5214,Ring Mail,Demonhide Boots,Hard Leather Gloves,War Cap of Reflection,"""Bramble Tear"" Amulet of Skill",Gold Ring of Reflection,Mesh Belt,Maul of Titans
5215,Dragonskin Armor,Heavy Boots,Gauntlets,Dragon's Crown,Pendant,Titanium Ring of Perfection,Demonhide Belt,Ghost Wand
5216,Ring Mail,Dragonskin Boots,Dragonskin Gloves,Helm of Vitriol,Amulet,Silver Ring,War Belt,Falchion
5217,Silk Robe,Hard Leather Boots,Leather Gloves,Ornate Helm,Pendant of Titans,Silver Ring of Skill,Dragonskin Belt,"""Sorrow Bite"" Maul of Anger +1"
5218,Studded Leather Armor,Greaves,Studded Leather Gloves,Cap,Necklace,Bronze Ring,Ornate Belt,Chronicle
5219,Plate Mail of Brilliance,Dragonskin Boots,Gauntlets of Enlightenment,"""Eagle Bender"" Demon Crown of Perfection +1",Amulet,Platinum Ring of Brilliance,Silk Sash,"""Golem Sun"" Tome of Enlightenment"
5220,Divine Robe,Demonhide Boots,Holy Gauntlets,Ancient Helm of Enlightenment,Necklace,Silver Ring of Rage,War Belt of Skill,Long Sword
5221,Silk Robe,Ornate Greaves,"""Storm Glow"" Ornate Gauntlets of Giants",Great Helm,Necklace of the Fox,Silver Ring of Fury,Ornate Belt,Grave Wand
5222,Divine Robe,Divine Slippers,Heavy Gloves,Helm,Amulet,Silver Ring,War Belt of Skill,Mace of Rage
5223,Divine Robe,Studded Leather Boots,Ornate Gauntlets,Linen Hood,Necklace of Detection,Bronze Ring,Leather Belt,Maul
5224,Robe,Linen Shoes,Studded Leather Gloves,Helm of Power,Necklace,Silver Ring,Brightsilk Sash of Giants,Long Sword
5225,Chain Mail,Chain Boots,Wool Gloves,Linen Hood,Pendant,Bronze Ring of Perfection,Silk Sash of Anger,Katana
5226,Leather Armor,"""Death Whisper"" Ornate Greaves of Reflection",Gauntlets,"""Tempest Grasp"" Great Helm of Detection +1",Necklace,Bronze Ring,Demonhide Belt,Maul
5227,Divine Robe,Hard Leather Boots,Demon's Hands of Power,Helm,Pendant,Bronze Ring,Linen Sash,Maul
5228,Leather Armor of Detection,Chain Boots,Silk Gloves,Linen Hood,Necklace of the Fox,Platinum Ring of Enlightenment,War Belt of Vitriol,Short Sword
5229,Demon Husk,Leather Boots of Detection,Holy Gauntlets of Rage,Leather Cap of Anger,Pendant of Brilliance,Bronze Ring,Silk Sash,Quarterstaff of Brilliance
5230,Ring Mail,Ornate Greaves,Silk Gloves,Cap,Necklace,"""Dread Bender"" Platinum Ring of Power +1",Dragonskin Belt,Quarterstaff
5231,Shirt,Linen Shoes,Gloves,Hood,Amulet of Enlightenment,Bronze Ring,Linen Sash,Grave Wand
5232,"""Sorrow Peak"" Ring Mail of Reflection +1","""Rage Bite"" Silk Slippers of Titans +1",Gauntlets,Ancient Helm of Giants,Pendant,Platinum Ring of Power,Demonhide Belt,Tome
5233,Shirt of Power,Demonhide Boots,Silk Gloves of Giants,"""Victory Bite"" Great Helm of Perfection +1",Necklace,Titanium Ring,Demonhide Belt,Club
5234,Ornate Chestplate,Ornate Greaves,Ornate Gauntlets,Hood,Necklace,Gold Ring,Mesh Belt,Bone Wand
5235,Shirt,Dragonskin Boots,Studded Leather Gloves,Hood,Necklace of Perfection,Silver Ring of the Twins,Ornate Belt,Katana
5236,Ring Mail,Chain Boots,Heavy Gloves of Brilliance,Linen Hood,Amulet,Titanium Ring,Hard Leather Belt,Ghost Wand
5237,Hard Leather Armor,Silk Slippers,Linen Gloves of Vitriol,Crown of the Fox,Necklace,Silver Ring,"""Dusk Sun"" Studded Leather Belt of Reflection",Warhammer of Perfection
5238,Silk Robe,Linen Shoes of Rage,Ornate Gauntlets,Linen Hood,Pendant of Fury,Silver Ring,Mesh Belt of Vitriol,Quarterstaff
5239,Linen Robe,Dragonskin Boots,Silk Gloves,Divine Hood,Necklace,Silver Ring,Demonhide Belt,"""Golem Glow"" Scimitar of the Twins"
5240,Dragonskin Armor,Silk Slippers,Divine Gloves,Leather Cap of the Fox,Pendant,"""Corpse Glow"" Gold Ring of Brilliance","""Fate Sun"" War Belt of the Fox",Maul
5241,Divine Robe,Divine Slippers of Detection,Silk Gloves,Divine Hood,Pendant,Platinum Ring,Silk Sash of Reflection,Bone Wand
5242,Ornate Chestplate,Linen Shoes,Divine Gloves,Full Helm,Pendant,"""Kraken Peak"" Titanium Ring of Fury +1",Heavy Belt,Long Sword
5243,Ornate Chestplate,Dragonskin Boots,Heavy Gloves,Cap,"""Pandemonium Bite"" Pendant of Anger +1",Titanium Ring,"""Foe Moon"" Hard Leather Belt of Detection +1",Warhammer
5244,Hard Leather Armor,Studded Leather Boots,Holy Gauntlets of the Twins,Hood,Amulet,Gold Ring,Plated Belt,Ghost Wand of Perfection
5245,Linen Robe of Perfection,Wool Shoes,Hard Leather Gloves,Great Helm,Pendant,Silver Ring of the Fox,Linen Sash,Quarterstaff
5246,"""Fate Whisper"" Silk Robe of Fury","""Bramble Whisper"" Ornate Greaves of Perfection",Ornate Gauntlets,Silk Hood,Pendant,Titanium Ring of Reflection,Demonhide Belt,Katana
5247,"""Woe Bender"" Ornate Chestplate of Reflection +1",Studded Leather Boots,"""Armageddon Grasp"" Gloves of Vitriol +1",Linen Hood,Amulet,Platinum Ring,Mesh Belt of Brilliance,Short Sword
5248,Chain Mail of the Fox,Dragonskin Boots,Demon's Hands,War Cap,Amulet,Gold Ring,Ornate Belt of Giants,Tome
5249,"""Mind Peak"" Hard Leather Armor of the Fox +1",Divine Slippers,Hard Leather Gloves,"""Rune Tear"" Ornate Helm of Detection",Amulet,Gold Ring,Plated Belt,"""Dread Shout"" Grave Wand of the Twins +1"
5250,Ring Mail,Wool Shoes of Vitriol,Leather Gloves of Skill,Cap,"""Oblivion Bender"" Pendant of Reflection +1",Bronze Ring,Wool Sash,Chronicle
5251,Leather Armor,Divine Slippers,Hard Leather Gloves,Great Helm,Pendant,Titanium Ring of Giants,Mesh Belt,Quarterstaff
5252,Hard Leather Armor,Wool Shoes,Linen Gloves,Ancient Helm,"""Tempest Peak"" Pendant of Reflection +1",Gold Ring,Hard Leather Belt,Falchion of Fury
5253,Leather Armor of Skill,Ornate Greaves,Dragonskin Gloves,Ancient Helm,Necklace of Detection,Bronze Ring,Hard Leather Belt of the Fox,Chronicle
5254,Dragonskin Armor,Demonhide Boots,Divine Gloves,Ancient Helm,Necklace of Titans,Bronze Ring,Dragonskin Belt,Maul
5255,Robe of Titans,Linen Shoes,Gloves,Linen Hood,"""Shimmering Bite"" Pendant of Power +1",Bronze Ring,Heavy Belt,Warhammer
5256,Hard Leather Armor,Divine Slippers,Holy Gauntlets of Reflection,Crown,Amulet,Bronze Ring,Sash,Book
5257,Robe,"""Dusk Glow"" Heavy Boots of Brilliance",Heavy Gloves,Ornate Helm,Necklace,Platinum Ring,Leather Belt of Giants,Maul
5258,Holy Chestplate of Fury,Divine Slippers,Heavy Gloves,"""Victory Grasp"" Hood of Brilliance +1",Pendant of Giants,Bronze Ring,Linen Sash,"""Apocalypse Tear"" Wand of Brilliance"
5259,Shirt,Hard Leather Boots,Leather Gloves,Great Helm,Necklace,Gold Ring,Studded Leather Belt of Detection,Grave Wand
5260,Linen Robe,Linen Shoes,Holy Gauntlets of Vitriol,War Cap,Necklace,Silver Ring of Detection,Ornate Belt,Quarterstaff
5261,Chain Mail of Protection,Studded Leather Boots,Holy Gauntlets,Helm,Amulet,Bronze Ring,"""Havoc Root"" Studded Leather Belt of Skill",Ghost Wand
5262,Studded Leather Armor,"""Demon Bite"" Hard Leather Boots of Anger +1","""Skull Bite"" Gauntlets of the Fox +1",Demon Crown of Power,Amulet,Bronze Ring,Brightsilk Sash,Mace
5263,Ornate Chestplate,Dragonskin Boots of the Fox,"""Rune Tear"" Studded Leather Gloves of Rage",War Cap,Amulet,Gold Ring,Brightsilk Sash,Katana
5264,Chain Mail of Anger,Dragonskin Boots,Silk Gloves,Leather Cap,Amulet of Anger,Bronze Ring,"""Gloom Moon"" Hard Leather Belt of Protection +1",Katana
5265,Robe of Vitriol,Silk Slippers,Gloves of Titans,Ancient Helm,Pendant,"""Grim Peak"" Silver Ring of Power +1",Dragonskin Belt of Power,Long Sword
5266,Dragonskin Armor,Wool Shoes of Perfection,Leather Gloves of Protection,Silk Hood of Giants,Necklace,Bronze Ring,Hard Leather Belt,Wand
5267,Ring Mail,Dragonskin Boots,Wool Gloves,Leather Cap,Pendant,"""Pandemonium Shout"" Bronze Ring of Detection +1",Mesh Belt,Bone Wand of Titans
5268,Demon Husk,Divine Slippers,"""Dread Peak"" Gloves of Anger +1","""Kraken Grasp"" Hood of Protection +1",Pendant of Brilliance,Silver Ring,Plated Belt,Katana
5269,Linen Robe,Shoes,Heavy Gloves,Divine Hood,"""Bramble Roar"" Amulet of Anger",Gold Ring,Wool Sash,Tome
5270,"""Bramble Roar"" Holy Chestplate of Perfection",Wool Shoes,Linen Gloves,Helm of Power,Amulet,Bronze Ring,Heavy Belt,Falchion of the Fox
5271,Divine Robe,Leather Boots,Wool Gloves,Crown of Reflection,Amulet,Gold Ring,Studded Leather Belt,Chronicle
5272,Demon Husk,Hard Leather Boots,Ornate Gauntlets,Helm,Pendant,Gold Ring of Reflection,Hard Leather Belt,Tome
5273,Studded Leather Armor of Skill,Shoes of Skill,Silk Gloves,"""Sorrow Bender"" Leather Cap of the Fox +1",Pendant,Gold Ring of Detection,Silk Sash,Chronicle
5274,Leather Armor,Leather Boots,Divine Gloves,"""Cataclysm Moon"" Demon Crown of Rage +1","""Corruption Grasp"" Pendant of Protection +1","""Golem Sun"" Silver Ring of Anger",War Belt,Tome
5275,Robe of Titans,Wool Shoes,Chain Gloves,Helm,Pendant,Silver Ring,Mesh Belt,Maul
5276,Dragonskin Armor,Linen Shoes,Ornate Gauntlets,Dragon's Crown of Perfection,Pendant of Protection,Silver Ring of Power,Linen Sash of Vitriol,Short Sword
5277,Studded Leather Armor,Chain Boots of Detection,Holy Gauntlets of Titans,Dragon's Crown,Pendant,Platinum Ring,Mesh Belt of Brilliance,Ghost Wand
5278,Robe,Hard Leather Boots,Studded Leather Gloves,Ancient Helm,Pendant,Platinum Ring,Plated Belt,Mace
5279,Studded Leather Armor,Leather Boots,Leather Gloves,Hood of Vitriol,Pendant,Titanium Ring,Heavy Belt,Bone Wand of Power
5280,"""Shimmering Shout"" Ornate Chestplate of Giants +1",Dragonskin Boots of Vitriol,Studded Leather Gloves,War Cap,Amulet,Bronze Ring,War Belt,Mace of Vitriol
5281,Demon Husk,Hard Leather Boots,Hard Leather Gloves of Rage,Linen Hood,"""Vengeance Glow"" Amulet of Detection",Platinum Ring,War Belt,Warhammer of Perfection
5282,Studded Leather Armor,Chain Boots,Dragonskin Gloves,Demon Crown,Necklace,"""Armageddon Peak"" Gold Ring of Perfection +1",Demonhide Belt,Chronicle
5283,Studded Leather Armor of Giants,Dragonskin Boots of Enlightenment,Hard Leather Gloves of the Twins,Silk Hood of Giants,Amulet,Platinum Ring,Demonhide Belt,Long Sword
5284,Leather Armor,Dragonskin Boots,"""Carrion Sun"" Divine Gloves of Enlightenment",Dragon's Crown,Necklace,Bronze Ring of Power,Silk Sash of Fury,Wand
5285,Chain Mail,"""Soul Glow"" Heavy Boots of Protection",Linen Gloves,Great Helm,"""Rune Sun"" Amulet of Enlightenment",Titanium Ring,Leather Belt,Wand
5286,"""Storm Tear"" Studded Leather Armor of the Twins",Dragonskin Boots,Divine Gloves of Anger,Hood,Necklace,Silver Ring of Titans,Wool Sash of Rage,Long Sword
5287,Chain Mail,Ornate Greaves,Divine Gloves,Ancient Helm,Amulet of Perfection,Platinum Ring of Giants,Dragonskin Belt,Scimitar of Protection
5288,"""Sorrow Bite"" Ring Mail of the Fox +1",Holy Greaves,Divine Gloves,Cap,Necklace of Skill,Silver Ring,War Belt,Grave Wand
5289,"""Armageddon Bender"" Demon Husk of Enlightenment +1",Divine Slippers,Ornate Gauntlets of Detection,Leather Cap of Anger,Necklace,Bronze Ring,Heavy Belt,Club
5290,Plate Mail,"""Victory Bender"" Demonhide Boots of the Fox +1",Linen Gloves,Full Helm,Amulet,Titanium Ring,"""Bramble Roar"" Heavy Belt of Power",Falchion
5291,Silk Robe,Demonhide Boots,Hard Leather Gloves,Crown,Pendant,Silver Ring,Ornate Belt,Long Sword
5292,Hard Leather Armor of Enlightenment,Ornate Greaves,Wool Gloves,Ancient Helm,Pendant,Titanium Ring,Dragonskin Belt,Ghost Wand
5293,Shirt,Studded Leather Boots,Wool Gloves,Crown of Protection,Necklace,Bronze Ring of Power,Brightsilk Sash,Mace of the Twins
5294,Demon Husk,Heavy Boots,Demon's Hands,Great Helm,Amulet,Titanium Ring of Titans,Leather Belt,Bone Wand
5295,Studded Leather Armor,Divine Slippers,Chain Gloves,Silk Hood,Necklace,Bronze Ring,Demonhide Belt,Falchion
5296,Robe,"""Skull Bender"" Shoes of Fury +1",Gloves,Full Helm,Necklace,Platinum Ring,War Belt of Detection,Short Sword
5297,Robe,Hard Leather Boots,Hard Leather Gloves,Crown,Necklace,Titanium Ring,Wool Sash of Rage,"""Rune Tear"" Wand of Giants"
5298,Leather Armor,Linen Shoes of Skill,"""Dread Bite"" Gloves of Fury +1",Leather Cap,Necklace,Silver Ring,Mesh Belt,Wand of Protection
5299,Chain Mail of Giants,Dragonskin Boots of Protection,"""Sorrow Grasp"" Demon's Hands of Protection +1",Full Helm of Rage,Necklace,Titanium Ring of Giants,Ornate Belt,"""Tempest Peak"" Grimoire of Reflection +1"
5300,Divine Robe,Leather Boots,Hard Leather Gloves,Crown,Pendant,Platinum Ring,Heavy Belt,Wand
5301,Holy Chestplate of Anger,Hard Leather Boots,Gloves,Demon Crown,Necklace,Platinum Ring,Sash,"""Cataclysm Shout"" Grave Wand of Giants +1"
5302,Holy Chestplate,Linen Shoes,Hard Leather Gloves,Demon Crown,Necklace,Platinum Ring,Plated Belt,Grave Wand
5303,Robe,Heavy Boots,Ornate Gauntlets,Helm,Necklace of Titans,Platinum Ring,Studded Leather Belt,Short Sword of Protection
5304,Silk Robe,Leather Boots,Leather Gloves,Full Helm,Necklace,Platinum Ring,Studded Leather Belt,Ghost Wand
5305,Chain Mail,Linen Shoes,Dragonskin Gloves,Cap,Necklace of Vitriol,Platinum Ring,War Belt,Katana
5306,Ornate Chestplate,Heavy Boots,"""Pandemonium Grasp"" Gloves of Skill +1",Dragon's Crown,Pendant,Silver Ring,Ornate Belt of Enlightenment,Wand
5307,Studded Leather Armor of Giants,Heavy Boots,Chain Gloves,"""Apocalypse Glow"" War Cap of Brilliance",Pendant,Titanium Ring,War Belt,Ghost Wand
5308,Dragonskin Armor of Brilliance,Wool Shoes of Rage,Gauntlets,Leather Cap,Pendant,Gold Ring,Brightsilk Sash of Detection,Club
5309,"""Havoc Glow"" Silk Robe of the Twins",Demonhide Boots,"""Armageddon Peak"" Gauntlets of Reflection +1",Cap,Amulet,Titanium Ring of Fury,Linen Sash,Grave Wand of Protection
5310,Plate Mail,Ornate Greaves,Leather Gloves of the Twins,Divine Hood,Amulet,Titanium Ring,"""Golem Sun"" Brightsilk Sash of Anger","""Behemoth Sun"" Tome of Anger"
5311,Demon Husk,Divine Slippers,Dragonskin Gloves,Demon Crown,Necklace,Titanium Ring,War Belt,Falchion of Anger
5312,Silk Robe of Titans,Holy Greaves,Wool Gloves of Titans,Leather Cap,Necklace,Titanium Ring,Leather Belt,Ghost Wand
5313,Chain Mail,Chain Boots,Holy Gauntlets,Great Helm,"""Cataclysm Grasp"" Pendant of Skill +1",Platinum Ring,Heavy Belt,Maul of Enlightenment
5314,Plate Mail,Greaves,Studded Leather Gloves,Cap of Fury,Pendant,"""Hypnotic Roar"" Titanium Ring of Power",Ornate Belt,Wand
5315,Plate Mail,Demonhide Boots,Dragonskin Gloves,Demon Crown,Necklace,Silver Ring,Demonhide Belt,Warhammer of Power
5316,Plate Mail,Shoes of the Fox,Ornate Gauntlets of Power,Crown,Pendant,Platinum Ring,Wool Sash,Tome of Fury
5317,Divine Robe,Holy Greaves,Divine Gloves of Titans,"""Victory Peak"" Divine Hood of Titans +1",Necklace,Silver Ring,Plated Belt of Enlightenment,Book
5318,Divine Robe,Holy Greaves of Reflection,"""Havoc Roar"" Linen Gloves of Titans","""Grim Peak"" Great Helm of Titans +1",Amulet,Silver Ring,Demonhide Belt,Warhammer
5319,Studded Leather Armor of Skill,Heavy Boots,Silk Gloves of Giants,War Cap,Pendant,"""Vortex Sun"" Silver Ring of Perfection",Dragonskin Belt,Quarterstaff
5320,Hard Leather Armor,Chain Boots,"""Dread Peak"" Gloves of Enlightenment +1",Helm,Pendant,Titanium Ring,Studded Leather Belt,Long Sword
5321,Shirt,Silk Slippers,Demon's Hands,Hood,Necklace,"""Dragon Glow"" Gold Ring of Skill",Hard Leather Belt,Quarterstaff
5322,Robe of Vitriol,Studded Leather Boots,Leather Gloves of the Twins,Helm,Pendant,Bronze Ring,Dragonskin Belt,Warhammer
5323,Robe,Hard Leather Boots,Wool Gloves,Cap,Necklace of Fury,Platinum Ring of the Twins,Demonhide Belt,Book
5324,Ornate Chestplate,Chain Boots,Holy Gauntlets of Power,Hood of the Fox,Amulet,"""Woe Bender"" Silver Ring of Anger +1",Wool Sash,Falchion
5325,Leather Armor,Ornate Greaves,"""Cataclysm Moon"" Hard Leather Gloves of Rage +1",Leather Cap,Pendant,Gold Ring,Ornate Belt of Anger,Falchion
5326,"""Gloom Bender"" Ring Mail of Anger +1","""Demon Shout"" Demonhide Boots of Protection +1",Demon's Hands,Cap,Amulet,Gold Ring,Demonhide Belt,Maul
5327,Holy Chestplate,Shoes,Ornate Gauntlets,Dragon's Crown,Pendant,Silver Ring,Mesh Belt,Falchion
5328,Ornate Chestplate of Power,Wool Shoes,Wool Gloves,Helm,Necklace,Gold Ring,Sash,Ghost Wand
5329,Holy Chestplate,Hard Leather Boots,Hard Leather Gloves,Helm,Amulet,Silver Ring of Anger,Sash of Vitriol,Chronicle
5330,Demon Husk,Divine Slippers of Titans,Linen Gloves,Ornate Helm of Detection,Necklace,Titanium Ring,Mesh Belt,Mace of Brilliance
5331,Chain Mail,Ornate Greaves,Gloves,Ancient Helm,Pendant,Silver Ring,Silk Sash,"""Grim Peak"" Grimoire of Anger +1"
5332,Holy Chestplate of Brilliance,Silk Slippers,Wool Gloves,Linen Hood,Pendant,Gold Ring,Linen Sash,"""Maelstrom Roar"" Club of Titans"
5333,"""Behemoth Glow"" Shirt of Brilliance","""Victory Peak"" Greaves of Enlightenment +1",Dragonskin Gloves of Reflection,"""Carrion Roar"" War Cap of Power",Necklace,Titanium Ring,Hard Leather Belt,Grimoire
5334,Ornate Chestplate,Shoes,Chain Gloves,Ancient Helm,Pendant,Gold Ring,Silk Sash,Long Sword
5335,Shirt,"""Apocalypse Tear"" Divine Slippers of Skill","""Ghoul Whisper"" Studded Leather Gloves of Titans",Dragon's Crown of Protection,Amulet,Platinum Ring,Wool Sash,Grimoire of Power
5336,"""Brimstone Bite"" Hard Leather Armor of Enlightenment +1",Ornate Greaves,Chain Gloves of the Fox,War Cap,Necklace,Silver Ring,Silk Sash,Long Sword
5337,Leather Armor,Holy Greaves,Gauntlets,Ancient Helm,Pendant,"""Brimstone Moon"" Titanium Ring of Brilliance +1",Linen Sash,Katana
5338,Studded Leather Armor,Leather Boots,Wool Gloves of Fury,Linen Hood,"""Vengeance Glow"" Amulet of Rage",Platinum Ring,Wool Sash,Grimoire
5339,Robe,Chain Boots,Ornate Gauntlets,Leather Cap of the Twins,Necklace of Titans,Titanium Ring,Ornate Belt,Club
5340,Divine Robe,Leather Boots,Hard Leather Gloves,Ancient Helm of Power,Pendant,Silver Ring,Wool Sash,Chronicle
5341,Divine Robe,Wool Shoes of Protection,"""Carrion Whisper"" Linen Gloves of Fury",Divine Hood,Pendant,Silver Ring,"""Pandemonium Peak"" Hard Leather Belt of Reflection +1",Quarterstaff of Protection
5342,Chain Mail,Chain Boots of the Fox,Leather Gloves,Helm,Amulet,"""Pandemonium Bite"" Gold Ring of Perfection +1",Hard Leather Belt,Long Sword
5343,Shirt,Leather Boots,"""Oblivion Bender"" Silk Gloves of Anger +1",Divine Hood,"""Maelstrom Roar"" Amulet of Perfection","""Grim Peak"" Gold Ring of Perfection +1",War Belt,"""Dragon Whisper"" Ghost Wand of the Fox"
5344,Divine Robe,Wool Shoes,Dragonskin Gloves of Protection,"""Vengeance Sun"" Helm of Anger",Necklace,Bronze Ring,Sash of Detection,Chronicle of Protection
5345,Plate Mail,Dragonskin Boots of Enlightenment,Dragonskin Gloves,Silk Hood,Pendant of Skill,Platinum Ring,Wool Sash,Quarterstaff
5346,Chain Mail,Shoes of Reflection,Divine Gloves,Linen Hood,Amulet,Silver Ring of Skill,Sash,Bone Wand
5347,Holy Chestplate,Wool Shoes,Ornate Gauntlets,Cap,Necklace,Platinum Ring,Studded Leather Belt,Grave Wand
5348,Shirt,Linen Shoes,Dragonskin Gloves,"""Demon Bite"" Leather Cap of Fury +1",Necklace,Platinum Ring,Mesh Belt,Warhammer
5349,Robe of Enlightenment,Holy Greaves,Holy Gauntlets of the Twins,"""Soul Sun"" Linen Hood of Enlightenment",Necklace,Titanium Ring,Dragonskin Belt,Chronicle
5350,Studded Leather Armor,Holy Greaves,Dragonskin Gloves,Ancient Helm,Necklace,Titanium Ring,Brightsilk Sash,Grimoire of Reflection
5351,Shirt,Holy Greaves,Ornate Gauntlets of Enlightenment,Demon Crown,"""Oblivion Bite"" Pendant of Anger +1",Silver Ring,Demonhide Belt,Grave Wand
5352,Ring Mail,Linen Shoes,Silk Gloves,Dragon's Crown,Pendant,Bronze Ring,Plated Belt of Brilliance,Chronicle
5353,Ornate Chestplate,"""Rage Shout"" Hard Leather Boots of Vitriol +1",Holy Gauntlets,Linen Hood,Pendant,Titanium Ring,Linen Sash of Skill,Quarterstaff
5354,Silk Robe,Heavy Boots,Chain Gloves,Great Helm,Pendant,Titanium Ring,War Belt,Ghost Wand
5355,Robe of Skill,Demonhide Boots,Demon's Hands,Full Helm of Titans,Amulet,Titanium Ring,Dragonskin Belt,"""Mind Shout"" Grave Wand of Detection +1"
5356,Demon Husk,Wool Shoes,Chain Gloves of Giants,Dragon's Crown,Pendant of Titans,Silver Ring,"""Woe Bite"" Silk Sash of Enlightenment +1",Grimoire
5357,Studded Leather Armor,Leather Boots,Divine Gloves,Ornate Helm,Amulet,"""Morbid Sun"" Silver Ring of Reflection",Silk Sash,Chronicle
5358,Chain Mail,Holy Greaves,"""Foe Moon"" Gauntlets of Skill +1",Cap of the Fox,Pendant,Bronze Ring,Silk Sash of Power,Ghost Wand of Perfection
5359,Ring Mail,Divine Slippers,Wool Gloves,Linen Hood,Amulet,Silver Ring,War Belt,Katana
5360,Silk Robe of Fury,Holy Greaves,Demon's Hands,Cap,Pendant,Titanium Ring,Wool Sash,Chronicle
5361,Studded Leather Armor of the Twins,Silk Slippers,Silk Gloves,Divine Hood of Skill,Pendant,Gold Ring,Silk Sash,Bone Wand of Power
5362,Hard Leather Armor,Studded Leather Boots,Heavy Gloves,"""Death Root"" Helm of Vitriol",Amulet,Platinum Ring,Mesh Belt,Bone Wand
5363,Dragonskin Armor of Fury,Hard Leather Boots,Studded Leather Gloves,Crown,"""Corruption Bender"" Pendant of Titans +1",Silver Ring,Silk Sash,Ghost Wand
5364,"""Apocalypse Glow"" Shirt of Brilliance",Studded Leather Boots,Dragonskin Gloves,"""Havoc Root"" Linen Hood of Protection",Necklace,Silver Ring,Studded Leather Belt,Chronicle
